Name,Economic Sector,2013,2014,2015,2016,2017,2018
1347,Technology,,10586.84,7785.05,8953.32,17193.3,18617.31
336,Basic Materials,13304.64,19650.31,8791.83,10220.89,15974.93,10349.51
8700,Real Estate,19935.05,18435.62,17911.98,17151.29,17597.19,18365.89
9968,Real Estate,,,,,,
6078,Healthcare,,,,,,
14,Real Estate,35525.33,36863.12,33565.37,33501.07,43346.49,38982.19
799,Technology,6998.09,3782.54,4860.55,7046.39,11212.14,13764.63
9969,Healthcare,,,,,,
2768,Real Estate,,,,6368.18,17801.52,36358.88
2362,Basic Materials,4133.21,2697.46,1588.02,2653.96,5752.16,7944.21
6139,Consumer Cyclicals,,11700.0,8760.0,8080.0,9880.0,8440.0
1951,Healthcare,,,,,,
9922,Consumer Cyclicals,,,,,,
179,Industrials,26843.96,25139.47,23369.15,18016.31,28782.15,14026.36
1691,Consumer Cyclicals,,,,,,
173,Real Estate,12747.11,11455.2,9484.25,10644.29,13046.81,11624.45
1638,Real Estate,12323.78,8165.32,8011.27,8011.27,26713.55,15175.48
9997,Healthcare,,,,,,
636,Industrials,18264.15,20802.26,19146.89,16581.21,18792.64,19815.15
683,Real Estate,38851.47,40666.97,30579.86,30378.24,50844.46,38926.84
148,Technology,20768.4,13435.36,12696.93,24402.4,45057.59,22637.89
1888,Technology,9870.0,8580.0,10560.0,22860.0,37526.56,19903.25
3888,Technology,26387.13,18246.58,24721.04,20723.24,34137.34,15484.38
1031,Financials,9085.86,11508.75,44791.6,45608.51,102108.6,25322.93
1797,Academic & Educational Services,,,,,,
34,Real Estate,10989.0,10448.18,8814.21,8457.5,9742.5,9695.43
135,Utilities,110133.6,59170.61,55699.45,46819.82,65709.19,67002.19
1813,Real Estate,12440.53,15644.51,17229.77,13436.72,28806.55,21996.32
973,Consumer Non-Cyclicals,24369.92,28889.43,22154.47,21681.84,21150.13,21120.6
2314,Basic Materials,23996.98,20267.8,19827.07,27364.86,41629.92,29142.34
3396,Technology,,,10795.57,6739.88,14067.55,26073.02
992,Technology,98090.94,113308.3,87425.06,52210.64,52985.2,63558.25
1089,Consumer Cyclicals,506.3,1693.2,2151.36,4589.57,5466.21,6651.6
1212,Consumer Cyclicals,23698.89,26591.57,16602.8,16025.87,16634.85,17812.73
1302,Healthcare,3000.0,5000.0,5920.0,8036.7,8096.12,6504.43
3339,Industrials,6462.94,6719.75,4836.51,7104.96,14680.74,8688.6
590,Consumer Cyclicals,17378.67,17172.48,9684.93,11888.93,19697.46,13121.86
2186,Healthcare,,33177.51,26834.26,15276.93,20491.02,17848.55
95,Real Estate,1337.85,3073.01,11358.46,11217.66,13988.66,11021.19
1999,Consumer Cyclicals,11600.84,12565.09,17731.8,19984.36,28323.41,12042.71
1896,Technology,,,,,,
200,Consumer Cyclicals,43786.85,26444.52,18003.15,16271.49,35331.65,24253.24
2282,Consumer Cyclicals,125779.9,74935.94,36860.0,61104.0,89869.94,49932.0
3990,Real Estate,,,,,,19049.07
425,Consumer Cyclicals,17576.18,17668.9,17050.43,27297.48,53773.19,28942.88
1208,Basic Materials,8674.95,12695.05,7776.4,15790.85,30886.24,27135.23
3918,Consumer Cyclicals,18644.58,14468.38,11122.94,11020.75,26263.09,36551.28
777,Technology,7222.25,6828.1,10675.1,10665.5,11594.0,6373.75
1316,Consumer Cyclicals,11065.27,16585.42,21536.87,23016.77,46635.99,27963.66
2689,Basic Materials,31496.98,31730.29,21417.95,32822.14,58521.19,33888.09
1475,Consumer Non-Cyclicals,,,,,3523.76,3867.54
659,Industrials,43912.8,53717.69,44140.17,48751.2,54912.86,62676.95
1477,Healthcare,,,,,,
316,Industrials,24374.64,28379.73,23310.8,20119.25,47184.77,33167.04
8,Technology,25234.85,39501.84,34677.14,32422.47,35047.14,34815.56
9996,Healthcare,,,,,,
2328,Financials,48527.11,69360.81,70924.63,55562.24,69084.81,55263.31
6049,Real Estate,,,,,,
3813,Consumer Cyclicals,2151.56,3980.39,10005.51,11902.88,6032.55,8071.41
9909,Real Estate,,,,,,
1238,Real Estate,6719.7,4357.05,6555.57,9113.84,15149.77,12311.69
1478,Technology,,2200.0,1634.43,4327.08,12271.56,5036.16
1337,Technology,,,,,34827.07,9423.47
1622,Real Estate,,5968.0,10122.08,11187.55,12643.71,15840.16
3301,Real Estate,,,,7613.72,13004.77,14763.62
1755,Real Estate,,,,,,3157.0
1910,Consumer Cyclicals,33208.41,32384.61,32849.11,31257.16,51039.76,31838.43
631,Basic Materials,7389.68,6203.68,5291.38,3770.87,5200.15,8119.53
1769,Academic & Educational Services,,,,,,
1030,Real Estate,5214.55,4080.96,7581.72,8996.22,27724.19,31661.52
363,Real Estate,30695.98,25174.19,22097.07,22817.86,24353.51,17221.42
69,Consumer Cyclicals,47361.59,38305.93,27100.78,29284.6,63572.7,41592.07
2066,Financials,,10546.25,15407.42,12171.86,9537.19,5253.93
152,Industrials,16073.85,21530.31,27231.93,22121.88,30183.44,31967.68
604,Real Estate,15712.67,14842.99,26803.97,23787.64,26108.32,21791.51
697,Financials,4031.05,3180.05,2508.21,2284.26,4048.97,4736.84
639,Basic Materials,14420.99,8960.1,5301.84,8058.79,8907.09,8429.92
2103,Real Estate,,,,,,
3377,Real Estate,37065.47,32980.44,37342.53,26073.15,40752.66,26275.18
1099,Consumer Non-Cyclicals,22116.7,32742.65,37096.42,38110.3,40317.01,39243.47
3808,Industrials,12010.3,11955.09,8476.24,15268.28,24296.71,32579.69
1308,Industrials,8815.78,10976.38,10734.5,12340.9,20470.25,19688.25
880,Consumer Cyclicals,144391.1,69907.25,31281.7,34395.64,39606.89,41315.5
410,Real Estate,35338.32,28493.38,19550.21,19862.18,23761.82,14506.67
2005,Healthcare,6211.43,10567.95,5604.38,7026.18,13812.67,17481.34
1686,Technology,5178.82,5620.06,5759.48,7710.27,13796.97,10790.1
19,Real Estate,82317.06,91463.38,78933.88,67030.44,65491.64,74860.5
1070,Technology,4800.95,4654.26,6820.89,6685.32,6813.76,7006.48
1773,Academic & Educational Services,,,,,,2925.75
819,Consumer Cyclicals,3168.94,2290.53,7468.81,8021.01,9147.55,7357.52
1233,Real Estate,6030.36,5685.77,4651.99,6530.02,14102.05,15954.2
9928,Real Estate,,,,,,
780,Consumer Cyclicals,,,,,,25955.28
6100,Industrials,,,,,,14805.05
6110,Consumer Cyclicals,,,,,,
1083,Utilities,23489.51,20692.68,11992.78,11063.33,17387.36,16326.26
696,Technology,7134.1,7814.87,11899.49,15200.76,21868.57,18697.87
247,Real Estate,28385.42,30530.09,37807.98,38694.98,44670.36,46965.31
220,Consumer Non-Cyclicals,28435.61,30840.03,25786.41,23626.74,28248.43,29371.45
486,Basic Materials,34943.92,79307.5,36007.44,49833.04,83257.63,39349.9
467,Energy,14619.6,14636.3,8898.29,10228.01,14973.37,32078.88
3933,Healthcare,5059.58,7369.74,6979.29,8589.89,10330.65,6821.23
2500,Healthcare,,,,,,
3331,Consumer Non-Cyclicals,12878.88,11401.75,15345.98,16492.48,18724.47,14720.59
345,Consumer Non-Cyclicals,12316.39,11662.51,16593.2,16382.76,21137.5,31686.04
1873,Healthcare,,,,,,
303,Technology,25262.82,27931.45,20182.48,26047.58,25740.5,16301.88
2013,Technology,,,,,,
4,Real Estate,179686.4,169687.0,130334.0,156306.1,81988.88,62161.3
2400,Technology,,,,,,
520,Consumer Cyclicals,,5029.31,3256.4,5723.27,16880.31,13304.21
3868,Utilities,,,,,,
868,Consumer Cyclicals,26822.14,15333.47,17883.55,24671.84,40795.42,34581.11
1585,Consumer Cyclicals,,,,5130.0,8040.0,9060.0
9923,Industrials,,,,,,
2858,Financials,,,,,39352.53,11148.34
551,Consumer Cyclicals,42707.25,46087.54,43449.26,46417.3,50609.03,40496.91
123,Real Estate,17805.07,18477.93,16617.74,13145.38,18105.89,17857.86
405,Real Estate,10458.11,10891.19,11768.16,11684.71,15095.22,15594.38
376,Financials,967.01,1795.26,23657.45,13364.3,13207.13,14988.46
1628,Real Estate,6670.07,6739.19,8013.59,10303.19,17451.53,15505.09
1818,Basic Materials,3873.35,3418.69,3829.63,5831.88,6347.75,8341.25
6158,Real Estate,,,,,,21109.76
6060,Financials,,,,,32558.02,11768.81
2772,Real Estate,,,,,,
3633,Utilities,5527.57,4545.01,4545.01,5176.26,12599.78,16627.53
1458,Consumer Non-Cyclicals,,,,16205.36,19541.75,8245.66
3898,Industrials,15270.48,24766.64,24657.18,21537.41,27831.7,23754.09
8495,Consumer Cyclicals,,,,,142.4,66.24
3601,Technology,,,,,,
1361,Consumer Cyclicals,4238.58,4300.61,6037.4,6202.8,5582.52,3370.19
2051,Technology,,,,,,5159.92
797,Technology,,,,,,3893.35
1737,Industrials,,,,,,172.0
1841,Industrials,,,,256.0,252.0,316.0
