,IPO,IPO return,MatchFirm,MatchFirm return,Industry,IPO Date
282,1731,0.08928571428571508,8010,0.0,Consumer Cyclicals,2018-07-13
283,1721,-0.2786885245901647,8139,2.9918367346938792,Basic Materials,2018-07-16
284,1968,-0.8536585365853656,8010,0.0,Consumer Cyclicals,2018-07-16
285,1715,0.3968253968253952,8010,0.0,Consumer Cyclicals,2018-07-16
286,3302,-0.5284552845528456,8188,-1.887379141862766e-15,Industrials,2018-07-18
287,1576,-0.21739130434782594,8188,0.07594936708860556,Industrials,2018-07-19
288,2048,-0.2947813822284904,8426,-0.1666666666666653,Real Estate,2018-07-20
289,1758,-0.6968641114982579,8363,0.6444444444444419,Academic & Educational Services,2018-07-31
290,1725,-0.29655172413793196,8249,-0.3283018867924524,Technology,2018-08-16
291,1783,-0.6367346938775515,8188,-0.007936507936509685,Industrials,2018-08-22
292,1615,0.015873015873016705,8188,0.4919354838709671,Industrials,2018-10-09
293,1969,-0.06321839080459812,8363,0.4615384615384601,Academic & Educational Services,2018-09-13
294,2552,-0.17874396135265858,8161,-0.2162162162162169,Healthcare,2018-09-14
295,2680,1.030612244897957,8188,-0.14285714285714446,Industrials,2018-09-14
296,3690,0.03647625602202553,8165,0.0,Technology,2018-09-20
297,6862,0.9191919191919189,8010,0.0,Consumer Cyclicals,2018-09-26
298,1748,-0.006622516556293312,8188,-0.01639344262295328,Industrials,2018-09-26
299,1911,-0.4064777327935224,310,-0.2727272727272727,Financials,2018-09-27
300,1723,1.4905660377358476,8249,-0.4205882352941176,Technology,2018-09-27
301,1894,1.3499999999999965,8188,0.0999999999999992,Industrials,2018-12-10
302,1741,2.6984126984127075,8188,0.7924528301886764,Industrials,2018-10-16
303,1653,-0.7714285714285709,8010,0.0,Consumer Cyclicals,2018-10-19
304,1825,-0.6649350649350647,8010,0.0,Consumer Cyclicals,2018-10-19
305,1034,-0.4565217391304355,8188,0.8899999999999948,Industrials,2018-10-30
306,1801,0.429433051869726,8161,0.045454545454547635,Healthcare,2018-10-31
307,3616,0.19047619047619113,8426,-0.12790697674418539,Real Estate,2018-12-11
308,1835,-0.04030710172744634,310,-0.29545454545454486,Financials,2018-11-13
309,6890,-0.009345794392522366,8139,-0.20740740740740704,Basic Materials,2018-11-19
310,2258,-0.17293233082706916,8188,0.30693069306930343,Industrials,2018-11-19
311,1761,-0.726346433770015,8010,0.0,Consumer Cyclicals,2018-11-27
312,1860,-0.1278195488721794,8010,0.0,Consumer Cyclicals,2018-12-12
313,1837,0.028169014084506117,8108,-0.019230769230770384,Consumer Non-Cyclicals,2018-12-12
314,2798,2.2058823529411793,8270,-0.1272727272727272,Energy,2018-12-12
315,1992,-0.3190921228304402,8010,0.0,Consumer Cyclicals,2018-12-14
316,1995,1.6179775280898845,8426,-0.09883720930232476,Real Estate,2018-12-17
317,1983,-0.15076923076923077,310,-0.28571428571428625,Financials,2018-12-17
318,1675,-0.1027944111776441,8249,-0.2814814814814822,Technology,2018-12-19
319,2892,-0.00793650793650702,8426,-0.06285714285714206,Real Estate,2018-12-20
320,1820,0.12814070351758522,8139,-0.7058346839546188,Basic Materials,2018-12-21
321,1762,-0.36666666666666625,8010,0.0,Consumer Cyclicals,2018-12-21
322,3978,0.4958333333333349,8363,0.718750000000002,Academic & Educational Services,2018-12-27
323,1713,0.06779661016949134,1265,-0.1666666666666664,Utilities,2018-12-28
324,1759,0.0915492957746471,1265,-0.1666666666666664,Utilities,2018-12-28
325,1796,-0.19387755102040916,8010,0.0,Consumer Cyclicals,2018-12-31
