,Stock,Industry,IPO,MktCap,return_1year,IPO Year
95,1498,Healthcare,2015-08-07,4.099,0.0,2015
96,3737,Consumer Non-Cyclicals,2015-07-13,2.39,0.0,2015
97,6896,Healthcare,2015-07-15,4.87,0.0,2015
98,1527,Industrials,2015-12-10,7.51,0.06818181818181812,2015
99,1476,Financials,2015-10-15,4.17,0.03296703296703287,2015
100,1533,Consumer Non-Cyclicals,2015-10-15,5.45,0.0,2015
101,1532,Consumer Cyclicals,2015-10-16,0.93,-0.002427184466019366,2015
102,1508,Financials,2015-10-26,2.7,-0.0209302325581395,2015
103,2799,Financials,2015-10-30,3.1,0.04761904761904766,2015
104,1556,Industrials,2015-11-11,0.61,0.09375000000000008,2015
105,1452,Basic Materials,2015-12-11,1.45,0.0837988826815642,2015
106,3799,Consumer Non-Cyclicals,2015-11-20,5.0,0.005464480874316823,2015
107,1538,Real Estate,2015-11-25,1.87,-0.009259259259259267,2015
108,6865,Energy,2015-11-26,1.94,0.0,2015
109,2289,Consumer Non-Cyclicals,2015-12-14,8.0,-0.01818181818181817,2015
110,3600,Healthcare,2015-12-15,4.04,-0.01700318809776835,2015
111,1786,Industrials,2015-12-16,4.72,-0.004223864836325334,2015
112,1662,Industrials,2015-12-18,1.11,-0.007692307692307699,2015
113,1543,Financials,2015-12-23,1.38,-0.01405152224824347,2015
114,6196,Financials,2015-12-23,3.655,0.03755868544600943,2015
115,1558,Healthcare,2015-12-29,7.27,0.06650831353919245,2015
116,1568,Consumer Cyclicals,2015-12-29,1.5,-0.01178451178451168,2015
117,1548,Healthcare,2015-12-30,1.3119999999999998,0.05333333333333338,2015
118,1799,Basic Materials,2015-12-30,8.8,0.0,2015
119,3678,Financials,2015-12-30,1.97,0.0,2015
120,3326,Consumer Cyclicals,2016-04-01,0.733,-0.005509641873278242,2016
121,3773,Technology,2016-07-01,0.86,0.0,2016
122,1459,Industrials,2016-12-01,1.65,0.01690140845070424,2016
123,3301,Real Estate,2016-01-13,5.62,-0.0090805902383655,2016
124,1565,Academic & Educational Services,2016-01-15,2.43,-0.001146788990825664,2016
125,3963,Financials,2016-01-28,2.13,-0.07073954983922831,2016
126,2768,Real Estate,2016-08-03,2.45,0.01595744680851077,2016
127,6833,Consumer Non-Cyclicals,2016-10-03,0.56,-0.08374384236453199,2016
128,2138,Consumer Non-Cyclicals,2016-11-03,2.32,0.06282722513088987,2016
129,1557,Industrials,2016-03-18,1.4,,2016
130,2016,Financials,2016-03-30,3.96,0.01639344262295083,2016
131,2239,Technology,2016-03-30,3.18,0.007407407407407249,2016
132,1578,Financials,2016-03-30,7.39,0.007407407407407249,2016
133,1496,Industrials,2016-08-04,0.45,0.0,2016
134,1469,Financials,2016-08-04,1.05,0.0,2016
135,2738,Basic Materials,2016-04-15,2.88,-0.006666666666666722,2016
136,3626,Basic Materials,2016-05-18,2.61,0.0437499999999999,2016
137,1585,Consumer Cyclicals,2016-05-19,1.32,-0.006134969325153244,2016
138,1606,Financials,2016-11-07,1.94,0.0,2016
139,1586,Energy,2016-12-07,1.57,0.01229508196721303,2016
140,2869,Real Estate,2016-11-07,2.73,0.02291325695581017,2016
141,1523,Technology,2016-07-13,0.49,0.02291325695581017,2016
142,1560,Real Estate,2016-07-13,0.857,0.0,2016
143,1573,Energy,2016-07-13,4.14,0.02866242038216556,2016
144,1579,Consumer Non-Cyclicals,2016-07-13,3.25,0.0,2016
145,1612,Healthcare,2016-07-13,0.94,-0.01345291479820619,2016
146,1589,Industrials,2016-07-15,3.44,0.009132420091324209,2016
147,2278,Real Estate,2016-07-15,4.8,0.01860465116279071,2016
148,6816,Industrials,2016-07-20,1.13,0.0506329113924051,2016
149,2031,Consumer Cyclicals,2016-12-09,0.46,0.00107642626480103,2016
150,3893,Consumer Cyclicals,2016-12-09,0.14,0.0,2016
151,2633,Healthcare,2016-09-21,1.68,-0.03546099290780145,2016
152,1658,Financials,2016-09-28,4.77,-0.013986013986014,2016
153,1591,Industrials,2016-09-28,0.14400000000000002,-0.006872852233676982,2016
154,1577,Financials,2016-09-30,1.82,0.0,2016
155,1547,Industrials,2016-10-14,0.435,-0.01530612244897963,2016
156,2113,Industrials,2016-10-17,0.8,-0.007594936708860687,2016
157,1609,Industrials,2016-10-17,0.64,0.0,2016
158,3320,Healthcare,2016-10-28,9.01,0.01052631578947369,2016
159,3306,Consumer Cyclicals,2016-10-31,6.87,-0.02000000000000002,2016
160,6163,Industrials,2016-11-11,1.37,0.004830917874396247,2016
161,1633,Industrials,2016-11-11,1.27,-0.01904761904761906,2016
162,1458,Consumer Non-Cyclicals,2016-11-11,6.67,0.04122340425531922,2016
163,1272,Industrials,2016-11-15,3.78,0.001321003963011861,2016
164,1611,Industrials,2016-11-21,1.57,-0.01507537688442212,2016
165,1608,Industrials,2016-11-24,2.83,-0.02475247524752477,2016
166,1629,Basic Materials,2016-11-25,0.76,0.01960784313725492,2016
167,6189,Industrials,2016-11-25,5.11,0.05691056910569111,2016
168,1632,Consumer Cyclicals,2016-11-29,0.877,0.0,2016
169,6066,Financials,2018-06-20,5.88,0.008849557522124098,2018
170,1617,Technology,2016-12-12,1.74,0.002155172413793249,2016
171,1357,Technology,2016-12-15,8.5,0.001081081081081058,2016
172,1580,Basic Materials,2016-12-19,0.84,-0.001079913606911424,2016
173,1596,Basic Materials,2016-12-21,3.02,-0.03921568627450984,2016
174,1637,Industrials,2017-03-01,0.88,0.01477832512315283,2017
