,Type,RIC
740,K:COHL,1146
741,K:CPNH,1736
742,K:CPCT,1532
743,K:CHPG,3348
744,K:CPPH,1345
745,K:BALA,8117
746,K:CPGP,1838
747,K:SPBH,0736
748,K:SUNN,1094
749,K:CPFH,1699
750,K:CHQN,0866
751,K:RAIL,3969
752,K:YIXI,0769
753,K:BMII,8158
754,K:CRGC,1508
755,K:ALBA,0987
756,K:SEAR,0269
757,K:PHGC,1515
758,K:CRZG,3963
759,K:CHRU,1365
760,K:CHSG,0153
761,K:GFG,0910
762,K:CSJ,2198
763,K:CSFC,1676
764,K:SHGG,1432
765,K:CSPG,2877
766,K:CSTH,0750
767,K:CSKL,0974
768,K:CSGL,0815
769,K:TCIN,0515
770,K:CSYN,8073
771,K:STAR,0485
772,K:RDH,1004
773,K:ORCG,8325
774,K:HWAK,0155
775,K:CSCH,1668
776,K:STAE,0326
777,K:CSTC,3838
778,K:CSTR,0235
779,K:HFGH,3623
780,K:SUNP,2002
781,K:CSG,0956
782,K:YATS,3708
783,K:UPI,0674
784,K:WELB,0491
785,K:STEC,8111
786,K:CTL,1600
787,K:CDLH,0557
788,K:CTGD,1427
789,K:CTAI,6162
790,K:CTIN,3398
791,K:CTTS,2188
792,K:WFI,0952
793,K:CTWG,0389
794,K:QIHL,1332
795,K:QSCT,8171
796,K:PPHL,8265
797,K:TWAY,2330
798,K:CHEU,0648
799,K:CWTY,6966
800,K:SKYH,1129
801,K:CWML,3778
802,K:PCTD,1822
803,K:CHOP,1885
804,K:CXED,2779
805,K:CXLX,1866
806,K:CYUT,8230
807,K:CYUR,1068
808,K:CZTA,1728
809,K:CZDC,1492
810,K:CZHG,1333
811,K:CHKP,1123
812,K:CCTH,1678
813,K:HNKO,0673
814,K:IMER,8009
815,K:BYF,8272
816,K:KEL,0681
817,K:STRA,8089
818,K:CHLH,3728
819,K:DECC,0997
820,K:DHAR,0385
821,K:CHIN,0216
822,K:KINW,1556
823,K:DRAN,0632
824,K:DGHG,8537
825,K:LIUB,1111
826,K:CKGP,1609
827,K:CCHL,8207
828,K:CKIS,1053
829,K:CHME,2722
830,K:CRCB,3618
831,K:CHSS,0116
832,K:CHRS,1210
833,K:FONG,0641
834,K:CHKK,1938
835,K:CKS,0560
836,K:CHL,1420
837,K:CHUA,0298
838,K:CHNC,0367
839,K:CILH,0479
840,K:ENRC,3899
841,K:CIVG,1839
842,K:WANF,0445
843,K:HNTE,0111
844,K:TEYE,8051
845,K:CIRH,1433
846,K:CDAH,1091
847,K:SEAW,1205
848,K:CEVE,0256
849,K:CLGH,8098
850,K:CLSS,8232
851,K:CLMD,0100
852,K:CLFF,3686
853,K:KVBK,6877
854,K:HFG,1141
855,K:CMTG,0302
856,K:GFLX,0471
857,K:CMON,1792
858,K:TYPH,8356
859,K:UMTL,2302
860,K:SHLD,1240
861,K:CNTG,0701
862,K:CRG,1124
863,K:COGB,0400
864,K:CLLS,1778
865,K:COMB,2342
866,K:GSFT,8190
867,K:COME,0794
868,K:COMP,0046
869,K:COMG,0320
870,K:COMT,0712
871,K:NPH,0182
872,K:COIH,1967
873,K:CNPG,1681
874,K:CONL,1912
875,K:CONH,0513
876,K:CREA,0831
877,K:CFSH,1019
878,K:CLHT,8491
879,K:CWTL,2369
880,K:EARN,0339
881,K:FMNT,8112
882,K:SHIN,0517
883,K:COSL,1043
884,K:CLCH,2298
885,K:CPRO,0120
886,K:COSO,0118
887,K:CEHI,1415
888,K:CPMG,1932
889,K:CPMC,0906
890,K:CCGH,1582
891,K:CRXX,1786
892,K:CCEL,8368
893,K:CREH,3992
894,K:CROC,0122
895,K:CHAR,0032
896,K:CRSS,3893
897,K:KIME,0727
898,K:CRYI,2232
899,K:OCEA,0497
900,K:CSMG,1815
901,K:CHKS,3877
902,K:CHST,0985
903,K:FELG,0830
904,K:CTEN,1363
905,K:WWWC,0994
906,K:CTEH,1620
907,K:CTII,0308
908,K:CTRH,1416
909,K:JADE,0343
910,K:CWGH,1322
911,K:SANT,0521
912,K:SHLG,1020
913,K:DGTE,1301
914,K:DMIH,1090
915,K:DSEN,1580
916,K:CHAG,1073
917,K:DCHN,3999
918,K:DADI,8417
919,K:MILK,8130
920,K:DAPG,6111
921,K:GMLC,8310
922,K:DAHF,0440
923,K:DCON,0544
924,K:SUWA,0567
925,K:DPCC,2880
926,K:DALH,1921
927,K:LINM,0915
928,K:PRIS,0210
929,K:DAEH,9986
930,K:DTNE,1272
931,K:DATR,0889
932,K:DWNP,2348
933,K:DBAT,3335
934,K:DCBH,8040
935,K:DENX,1452
936,K:DESC,1545
937,K:DCIH,8268
938,K:DES,0262
939,K:FTHD,0559
