,Instrument,IPO Date,Turnover,Relative Valuation EV/EBITDA Component,Outstanding Shares,TRBC Economic Sector Name
270,1667.HK,7/4/2017,233010,4,960000000,Consumer Cyclicals
271,2611.HK,26/6/2015,42558312,,1391827180,Financials
272,2001.HK,19/4/2017,22271080,72,1541175430,Academic & Educational Services
273,1257.HK,8/5/2017,8224818,91,2066078000,Utilities
274,1655.HK,15/5/2017,,74,500000000,Consumer Cyclicals
275,3329.HK,19/5/2017,422060,,2734392000,Financials
276,1679.HK,9/6/2017,2967850,2,986619071,Industrials
277,6038.HK,13/6/2017,11900,100,1000000000,Industrials
278,2269.HK,13/6/2017,759754917,7,1358219536,Healthcare
279,1630.HK,16/6/2017,58404,3,1500000000,Consumer Cyclicals
280,1551.HK,20/6/2017,3080,,9808268539,Financials
281,1571.HK,28/6/2017,254520,98,1002905000,Consumer Cyclicals
282,1932.HK,10/7/2017,15140,12,1000000000,Basic Materials
283,1702.HK,11/7/2017,,,620944000,Basic Materials
284,1695.HK,11/7/2017,2045,14,1080000000,Consumer Non-Cyclicals
285,1962.HK,12/7/2017,3240920,57,686082000,Consumer Non-Cyclicals
286,6113.HK,12/7/2017,3800,73,400000000,Consumer Cyclicals
287,6088.HK,13/7/2017,43497540,87,6884888038,Technology
288,0994.HK,17/7/2017,168280,1,700830000,Industrials
289,1676.HK,18/7/2017,303640,,100000000,Consumer Non-Cyclicals
290,1649.HK,18/7/2017,,,2846860952,Industrials
291,1216.HK,19/7/2017,42500,,20075000000,Financials
292,3848.HK,21/7/2017,961670,,155523000,Financials
293,1693.HK,9/8/2017,8268,1,1800000000,Industrials
294,2863.HK,11/8/2017,117340,95,643621000,Industrials
295,1552.HK,12/9/2017,40800,92,800000000,Industrials
296,1696.HK,19/9/2017,546712,100,442155600,Healthcare
297,3830.HK,21/9/2017,17535,100,1000000000,Consumer Cyclicals
298,1651.HK,25/9/2017,73850,90,380994000,Industrials
299,6060.HK,28/9/2017,682185847,,1469812900,Financials
300,6885.HK,10/10/2017,106600,100,535421000,Energy
301,1707.HK,12/10/2017,74000,3,1680000000,Industrials
302,2337.HK,16/10/2017,2229618,33,374502000,Energy
303,2225.HK,17/10/2017,13450,9,1230000000,Industrials
304,6080.HK,20/10/2017,15324,6,933750000,Industrials
305,2232.HK,3/11/2017,236890,99,2852822000,Consumer Cyclicals
306,0772.HK,8/11/2017,413114504,5,1015781716,Consumer Cyclicals
307,1720.HK,9/11/2017,820640,85,1100000000,Technology
